par,timeframe,padrao,direcao,sessao,contexto,ocorrencias,taxa_acerto,ic_inf,ic_sup,breakeven,p_binaria,taxa_treino,taxa_teste,r_treino,r_teste,p_treino,p_teste,p_bin_treino,p_bin_teste,periodos_ok,expectativa_r,r_ic_inf,r_ic_sup,p_tradicional,aprovado_binaria,aprovado_tradicional,margem_breakeven,estavel_binaria,estavel_tradicional,borda_binaria,borda_tradicional
AUDUSD,H1,harami,alta,asia,contra,259,0.5868725868725869,0.5260622471869137,0.6451436204182354,0.53475935828877,0.05236259279839261,0.6130952380952381,0.5384615384615384,0.09411764705882353,0.14130434782608695,0.19901466524745995,0.17857968506853134,0.024634424347690417,0.5146341078297507,True,0.11068702290076336,-0.061068702290076333,0.29389312977099236,0.10907506585869615,False,False,0.05211322858381695,False,False,False,False
EURUSD,M15,divergencia_rsi,baixa,londres,contra,408,0.5612745098039216,0.5127740076312238,0.6086319337307137,0.53475935828877,0.15287101642512493,0.5769230769230769,0.5486725663716814,-0.027472527472527472,0.21585903083700442,0.6036575979723056,0.014292668297734545,0.14312209465906953,0.3627246355824363,True,0.10757946210268948,-0.039119804400977995,0.2469437652811736,0.06707233977318415,False,False,0.026515151515151603,False,False,False,False
AUDUSD,H1,cruzamento_emas,baixa,londres_ny,contra,213,0.49765258215962443,0.4311450606589881,0.5642432751074352,0.53475935828877,0.8757596182397829,0.43478260869565216,0.5714285714285714,-0.09482758620689655,0.3469387755102041,0.7691389811805535,0.012096334140332676,0.987479187961008,0.2660691735308117,True,0.10747663551401869,-0.07476635514018691,0.3037383177570093,0.13991291512868975,False,False,-0.037106776129145536,False,False,False,False
USDJPY,H1,pin_bar,alta,londres,a_favor,233,0.5579399141630901,0.4937441844638608,0.6202561266912943,0.53475935828877,0.26021383520567143,0.5833333333333334,0.5309734513274337,0.1,0.11504424778761062,0.22599843897460425,0.20140404433093878,0.16474729745186184,0.5702397363780412,True,0.1072961373390558,-0.07296137339055794,0.30042918454935624,0.1300533282121507,False,False,0.023180555874320108,False,False,False,False
USDCAD,M15,pinca,alta,londres_ny,contra,467,0.5374732334047109,0.49213069180057656,0.5822043085361901,0.53475935828877,0.4720533867686384,0.5501730103806228,0.5168539325842697,0.1522491349480969,0.03333333333333333,0.0388303706145919,0.37738391727595644,0.3208973009405573,0.7105865361175453,True,0.10660980810234541,-0.02771855010660981,0.24093816631130063,0.05588187120809006,False,False,0.0027138751159409003,False,False,False,False
GBPUSD,H1,engolfo,alta,asia,a_favor,263,0.5285171102661597,0.468211085362886,0.5880020685686376,0.53475935828877,0.6048893622269388,0.546875,0.5111111111111111,0.21875,0.0,0.04838143055127231,0.5,0.4269677568018738,0.7382957558649199,True,0.10646387832699619,-0.07604562737642585,0.2889733840304182,0.11745399690886354,False,False,-0.006242248022610308,False,False,False,False
EURUSD,M15,cruzamento_emas,baixa,londres_ny,contra,520,0.5134615384615384,0.47056103874430066,0.5561646046049631,0.53475935828877,0.845569788850036,0.5423728813559322,0.4894366197183099,0.10126582278481013,0.10819434883316573,0.1415525541377189,0.10414021548384048,0.4334069656685355,0.9440130370179259,True,0.1050486387307514,-0.022988505747126436,0.23563218390804597,0.0489232493140574,False,False,-0.021297819827231557,False,False,False,False
EURUSD,M15,pin_bar,baixa,asia,contra,765,0.526797385620915,0.49137133830116553,0.5619556506763654,0.53475935828877,0.6838007816499005,0.5027322404371585,0.5488721804511278,0.03814713896457766,0.16296296296296298,0.30469828391864673,0.012785019870575755,0.8997646825972261,0.3036069257286636,True,0.10362694300518134,0.0025906735751295338,0.20854922279792745,0.02352912105068952,False,False,-0.007961972667854922,False,False,False,False
EURUSD,H1,inside_bar,baixa,londres,contra,688,0.5290697674418605,0.49171343561136893,0.5661032787384529,0.53475935828877,0.6323798217867611,0.5088757396449705,0.5485714285714286,0.029585798816568046,0.1742857142857143,0.3516035003607117,0.013404999879344848,0.8434039708297947,0.32153569195165016,True,0.10319767441860465,-0.0014534883720930232,0.21220930232558138,0.030963739108018768,False,False,-0.005689590846909454,False,False,False,False
EURUSD,M15,pin_bar,baixa,londres_ny,contra,434,0.511520737327189,0.46459815570649804,0.5582411615818523,0.53475935828877,0.8458221150204809,0.43842364532019706,0.5757575757575758,-0.07352941176470588,0.2543103448275862,0.7746936846696502,0.004794867380742691,0.9975904484802385,0.11818786858150142,True,0.10091743119266056,-0.02981651376146789,0.23853211009174313,0.0731032384310576,False,False,-0.023238620961581025,False,False,False,False
