par,timeframe,padrao,direcao,sessao,contexto,ocorrencias,taxa_acerto,ic_inf,ic_sup,breakeven,p_binaria,expectativa_r,r_ic_inf,r_ic_sup,p_tradicional,aprovado_binaria,aprovado_tradicional,margem_breakeven,borda_binaria,borda_tradicional
EURUSD,M5,piercing_nuvem,baixa,asia,contra,391,0.5294117647058824,0.47989203840139927,0.5783591899997317,0.53475935828877,0.6040074775864224,-0.020100502512562814,-0.14824120603015076,0.10804020100502512,0.6119730826787153,False,False,-0.005347593582887611,False,False
EURUSD,M5,pinca,baixa,londres_ny,a_favor,1296,0.4853395061728395,0.45821301727279595,0.5125526482303829,0.53475935828877,0.9998345230993573,-0.020720569331886523,-0.09692002945217297,0.053290882226975166,0.7032949918293603,False,False,-0.049419852115930474,False,False
EURUSD,M5,cruzamento_emas,baixa,londres_ny,a_favor,798,0.5100250626566416,0.47537617029614926,0.5445778989578052,0.53475935828877,0.9244412764042792,-0.02082911893008389,-0.11455056093193453,0.07693152172715081,0.6629388594741066,False,False,-0.024734295632128367,False,False
EURUSD,M5,inside_bar,alta,londres,a_favor,7050,0.5026950354609929,0.49102550000170475,0.514361635535979,0.53475935828877,0.9999999673265161,-0.021913190054782976,-0.05395069532237672,0.010556257901390531,0.9056673319853179,False,False,-0.03206432282777705,False,False
EURUSD,M5,pinca,baixa,asia,a_favor,1891,0.48915917503966155,0.4666735233083495,0.511688782514578,0.53475935828877,0.9999674098719589,-0.022821576763485476,-0.08506224066390042,0.040975103734439834,0.7618974963699139,False,False,-0.04560018324910842,False,False
EURUSD,M5,engolfo,baixa,londres,a_favor,3583,0.4814401339659503,0.465108311063036,0.497811711601214,0.53475935828877,0.9999999999252315,-0.02302357836338419,-0.06712898751733704,0.022766990291262022,0.8372018181041334,False,False,-0.05331922432281966,False,False
EURUSD,M5,doji,baixa,londres_ny,contra,2366,0.4978867286559594,0.477759653566328,0.5180206548746525,0.53475935828877,0.9998481795346653,-0.023078125117324218,-0.08059485942005712,0.031528838718323855,0.789400765693256,False,False,-0.03687262963281057,False,False
EURUSD,M5,tres_velas,baixa,londres,a_favor,757,0.4425363276089828,0.4075326586456433,0.4781202602491153,0.53475935828877,0.999999844347668,-0.023622047244094488,-0.11811023622047244,0.07874015748031496,0.6784637687532649,False,False,-0.09222303067978715,False,False
EURUSD,M5,inside_bar,baixa,asia,contra,9985,0.5211817726589885,0.5113771337871535,0.5309701195698879,0.53475935828877,0.9968211707602862,-0.024121295658166782,-0.050113222408191396,0.0030520823077680418,0.9581339656515139,False,False,-0.013577585629781508,False,False
EURUSD,M5,estrela,alta,londres,contra,836,0.4988038277511962,0.46499361298430886,0.5326249851701472,0.53475935828877,0.982864328473483,-0.024822695035460994,-0.11702127659574468,0.07092198581560284,0.6961327161928176,False,False,-0.03595553053757378,False,False
EURUSD,M5,inside_bar,alta,asia,contra,8953,0.5166983134144979,0.506342150753287,0.5270401527489754,0.53475935828877,0.9997031342482277,-0.025725593667546173,-0.056076846965699194,0.002638522427440633,0.9596096203118489,False,False,-0.01806104487427207,False,False
EURUSD,M5,estrela,baixa,londres,a_favor,759,0.48484848484848486,0.44945957953735793,0.5203899878477753,0.53475935828877,0.9973605490569093,-0.027450980392156862,-0.12156862745098039,0.0784313725490196,0.7054427551768954,False,False,-0.04991087344028511,False,False
EURUSD,M5,marubozu,baixa,ny,contra,1721,0.484601975595584,0.46105115815110015,0.5082213800703332,0.53475935828877,0.9999860462761877,-0.03049394772666363,-0.09537020497173876,0.03812795863958724,0.8189668202720692,False,False,-0.05015738269318598,False,False
EURUSD,M5,divergencia_rsi,baixa,asia,contra,1436,0.5174094707520891,0.491552426258729,0.5431736192330797,0.53475935828877,0.9105492471789393,-0.030800821355236138,-0.1026694045174538,0.04106776180698152,0.79916230793075,False,False,-0.017349887536680875,False,False
EURUSD,M5,estrela,alta,londres_ny,a_favor,564,0.5159574468085106,0.4747454312283926,0.5569535574952958,0.53475935828877,0.8257544010549912,-0.030898250221733335,-0.14075373337376343,0.09006834300374691,0.7008065810487676,False,False,-0.018801911480259337,False,False
EURUSD,M5,doji,baixa,asia,contra,4504,0.5004440497335702,0.4858476796343582,0.5150396630187808,0.53475935828877,0.9999981425043811,-0.031019522776572668,-0.07006507592190889,0.00869305856832963,0.9333072818367782,False,False,-0.03431530855519982,False,False
EURUSD,M5,marubozu,alta,londres_ny,a_favor,1303,0.48810437452033767,0.4610384201050545,0.5152402632878227,0.53475935828877,0.9996626552482268,-0.031543193899967785,-0.10730375034049237,0.04023846924107923,0.7928364127365166,False,False,-0.0466549837684323,False,False
EURUSD,M5,engolfo,alta,londres,a_favor,3364,0.4892984542211653,0.47242792223789515,0.506193399198889,0.53475935828877,0.9999999409003235,-0.033196239717978845,-0.0799059929494712,0.01527614571092832,0.9163481104865745,False,False,-0.04546090406760467,False,False
EURUSD,M5,pinca,alta,londres_ny,a_favor,1267,0.49171270718232046,0.4642516701445155,0.5192238453462308,0.53475935828877,0.9990200048738889,-0.03439030035168011,-0.10837144695212914,0.04766632406803915,0.8096915134538217,False,False,-0.04304665110644951,False,False
EURUSD,M5,inside_bar,alta,londres_ny,a_favor,5796,0.49654934437543136,0.4836839662776178,0.5094192934780147,0.53475935828877,0.9999999973573909,-0.0344376291637513,-0.0691881256599429,0.00185458905003467,0.9700066084147176,False,False,-0.038210013913338614,False,False
EURUSD,M5,harami,alta,londres_ny,a_favor,1430,0.5167832167832168,0.49087260287643547,0.5426039015897413,0.53475935828877,0.9175621669574746,-0.03477022334190165,-0.10798739886283375,0.03884908459921205,0.8270382877570426,False,False,-0.017976141505553156,False,False
